trial_name,learning_rate,batch_size,stopping_condition,inference_type,epochs,class_rate,class_rate_top2,class_rate-top3,cm_diagonal,loss_plot,ROC_curve
balanced_lr3_b10_uc1_marginal_Stockholm_457-6,0.001,10,0.1,InferenceType.MARGINAL,7,0.8591304347826086,0.9669565217391304,0.9982608695652174,"[91.428571428571431, 97.942386831275712, 71.264367816091962, 74.285714285714292]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc1_marginal_Stockholm_457-6.png
balanced_lr3_b10_uc3_marginal_Stockholm_456-7,0.001,10,0.001,InferenceType.MARGINAL,10,0.9418604651162791,0.9916943521594684,0.9966777408637874,"[100.0, 100.0, 100.0, 83.091787439613526]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc3_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc3_marginal_Stockholm_456-7.png
balanced_lr3_b10_uc3_marginal_Stockholm_457-6,0.001,10,0.001,InferenceType.MARGINAL,10,0.8417391304347827,0.9756521739130435,0.9982608695652174,"[91.428571428571431, 97.942386831275712, 72.41379310344827, 68.0]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc3_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc3_marginal_Stockholm_457-6.png
balanced_lr3_b10_uc5_marginal_Stockholm_456-7,0.001,10,1e-05,InferenceType.MARGINAL,50,0.893687707641196,0.973421926910299,0.9916943521594684,"[98.666666666666671, 99.565217391304344, 98.888888888888886, 70.531400966183583]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc5_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc5_marginal_Stockholm_456-7.png
balanced_lr3_b10_uc5_marginal_Stockholm_457-6,0.001,10,1e-05,InferenceType.MARGINAL,50,0.7791304347826087,0.9078260869565218,0.9582608695652174,"[90.0, 98.353909465020578, 67.81609195402298, 49.714285714285715]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b10_uc5_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b10_uc5_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc0_marginal_Stockholm_456-7,0.001,200,1.0,InferenceType.MARGINAL,5,0.8953488372093024,0.9817275747508306,1.0,"[100.0, 99.565217391304344, 100.0, 70.048309178743963]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc0_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc0_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc0_marginal_Stockholm_457-6,0.001,200,1.0,InferenceType.MARGINAL,5,0.8504347826086956,0.9704347826086956,1.0,"[90.0, 97.942386831275712, 65.517241379310349, 74.857142857142861]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc0_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc0_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc1_marginal_Stockholm_456-7,0.001,200,0.1,InferenceType.MPE,6,0.8953488372093024,0.9867109634551495,1.0,"[98.666666666666671, 99.565217391304344, 100.0, 70.531400966183583]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc1_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc1_marginal_Stockholm_457-6,0.001,200,0.1,InferenceType.MPE,6,0.8260869565217391,0.9773913043478261,1.0,"[90.0, 97.942386831275712, 64.367816091954026, 67.428571428571431]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc1_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc2_marginal_Stockholm_456-7,0.001,200,0.01,InferenceType.MARGINAL,9,0.9019933554817275,0.9850498338870431,1.0,"[100.0, 99.565217391304344, 100.0, 71.980676328502412]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc2_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc2_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc2_marginal_Stockholm_457-6,0.001,200,0.01,InferenceType.MARGINAL,9,0.8417391304347827,0.9739130434782609,1.0,"[91.428571428571431, 98.353909465020578, 68.965517241379317, 69.142857142857139]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc2_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc2_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc3_marginal_Stockholm_456-7,0.001,200,0.001,InferenceType.MARGINAL,23,0.9302325581395349,0.9883720930232558,1.0,"[100.0, 99.130434782608702, 100.0, 80.676328502415458]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc3_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc3_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc3_marginal_Stockholm_457-6,0.001,200,0.001,InferenceType.MARGINAL,22,0.831304347826087,0.9756521739130435,0.9982608695652174,"[92.857142857142861, 97.942386831275712, 70.114942528735639, 65.142857142857153]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc3_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc3_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc4_marginal_Stockholm_456-7,0.001,200,0.0001,InferenceType.MARGINAL,50,0.9235880398671097,0.9900332225913622,1.0,"[100.0, 100.0, 100.0, 77.777777777777786]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc4_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc4_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc4_marginal_Stockholm_457-6,0.001,200,0.0001,InferenceType.MARGINAL,49,0.8486956521739131,0.9756521739130435,0.9982608695652174,"[92.857142857142861, 98.353909465020578, 73.563218390804593, 68.571428571428569]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc4_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc4_marginal_Stockholm_457-6.png
balanced_lr3_b200_uc5_marginal_Stockholm_456-7,0.001,200,1e-05,InferenceType.MARGINAL,46,0.9186046511627907,0.9883720930232558,1.0,"[100.0, 99.565217391304344, 100.0, 76.811594202898547]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc5_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc5_marginal_Stockholm_456-7.png
balanced_lr3_b200_uc5_marginal_Stockholm_457-6,0.001,200,1e-05,InferenceType.MARGINAL,50,0.8260869565217391,0.9756521739130435,0.9982608695652174,"[91.428571428571431, 98.353909465020578, 72.41379310344827, 62.285714285714292]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr3_b200_uc5_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr3_b200_uc5_marginal_Stockholm_457-6.png
balanced_lr5_b10_uc1_marginal_Stockholm_456-7,1e-05,10,0.1,InferenceType.MARGINAL,7,0.8770764119601329,0.9700996677740864,1.0,"[100.0, 99.130434782608702, 100.0, 65.217391304347828]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr5_b10_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr5_b10_uc1_marginal_Stockholm_456-7.png
balanced_lr5_b10_uc1_marginal_Stockholm_457-6,1e-05,10,0.1,InferenceType.MARGINAL,8,0.8434782608695652,0.9634782608695652,0.9965217391304347,"[87.142857142857139, 98.76543209876543, 60.919540229885058, 74.857142857142861]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr5_b10_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr5_b10_uc1_marginal_Stockholm_457-6.png
balanced_lr5_b200_uc1_marginal_Stockholm_456-7,1e-05,200,0.1,InferenceType.MARGINAL,6,0.6312292358803987,0.8754152823920266,0.9966777408637874,"[64.0, 86.521739130434781, 58.888888888888893, 38.647342995169083]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr5_b200_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr5_b200_uc1_marginal_Stockholm_456-7.png
balanced_lr5_b200_uc1_marginal_Stockholm_457-6,1e-05,200,0.1,InferenceType.MARGINAL,6,0.6017391304347826,0.8156521739130435,0.9634782608695652,"[18.571428571428573, 90.123456790123456, 68.965517241379317, 30.857142857142854]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-balanced_lr5_b200_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-balanced_lr5_b200_uc1_marginal_Stockholm_457-6.png
unbalanced_lr3_b10_uc1_marginal_Stockholm_456-7,0.001,10,0.1,InferenceType.MARGINAL,5,0.9318936877076412,0.9916943521594684,0.9966777408637874,"[100.0, 100.0, 100.0, 80.193236714975853]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-unbalanced_lr3_b10_uc1_marginal_Stockholm_456-7.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-unbalanced_lr3_b10_uc1_marginal_Stockholm_456-7.png
unbalanced_lr3_b10_uc1_marginal_Stockholm_457-6,0.001,10,0.1,InferenceType.MPE,7,0.8365217391304348,0.9652173913043478,0.9982608695652174,"[91.428571428571431, 98.353909465020578, 70.114942528735639, 66.857142857142861]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-unbalanced_lr3_b10_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-unbalanced_lr3_b10_uc1_marginal_Stockholm_457-6.png
unbalanced_lr3_b200_uc1_marginal_Stockholm_457-6,0.001,200,0.1,InferenceType.MPE,6,0.84,0.9756521739130435,1.0,"[88.571428571428569, 98.353909465020578, 64.367816091954026, 72.0]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-unbalanced_lr3_b200_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-unbalanced_lr3_b200_uc1_marginal_Stockholm_457-6.png
unbalanced_lr5_b10_uc1_marginal_Stockholm_457-6,1e-05,10,0.1,InferenceType.MARGINAL,7,0.8226086956521739,0.9704347826086956,0.9965217391304347,"[84.285714285714292, 96.707818930041157, 58.620689655172406, 73.142857142857139]",https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/loss-unbalanced_lr5_b10_uc1_marginal_Stockholm_457-6.png,https://github.com/pronobis/deep-semantic-mapping/blob/master/deepsm/experiments/analysis/dgsm/roc-unbalanced_lr5_b10_uc1_marginal_Stockholm_457-6.png
